Título,URL,Tipo,Alternativas,Áreas
"Inversiones Copahue recibe crédito de USD 102 millones para comprar Los Guindos",https://lexlatin.com/node/134009,M&A,"Financiamientos","Corporativo - Adquisiciones, Banca y finanzas (créditos y financiamientos)"
"Grupo Cibest vende Banitsmo a Grupo BSC por USD 1.418 millones",https://lexlatin.com/node/133842,M&A,"Financiamientos","Corporativo - Adquisiciones, Banca y finanzas (créditos y financiamientos)"
"Acelen Renewables negocia acuerdos para un proyecto de aviación sostenible",https://lexlatin.com/node/133710,M&A,"Financiamientos","Corporativo - Adquisiciones, Banca y finanzas (créditos y financiamientos)"
"Manatí Capital Management invierte en Alicerce PM Imobiliários",https://lexlatin.com/node/133681,Emisiones,"M&A","Mercado de capitales - Emisiones, Corporativo - Adquisiciones"
"Engie Brasil completa emisión para comprar una participación en central hidroeléctrica",https://lexlatin.com/node/133506,Emisiones,"M&A","Mercado de capitales - Emisiones, Corporativo - Adquisiciones"
"Cemex emite bonos por 1.500 millones de dólares y asegura línea de crédito",https://lexlatin.com/node/133378,Emisiones,"Financiamientos","Mercado de capitales - Emisiones, Banca y finanzas (créditos y financiamientos)"
"Esentia Energy emite bonos por USD 2.000 millones",https://lexlatin.com/node/133245,Emisiones,"Financiamientos","Mercado de capitales - Emisiones, Banca y finanzas (créditos y financiamientos)"
"Generadora de Gatún emite bonos sénior por USD 1.050 millones",https://lexlatin.com/node/133152,Emisiones,"Financiamientos","Mercado de capitales - Emisiones, Banca y finanzas (créditos y financiamientos)"
"Parex Resources consigue USD 750 millones para financiar la compra de activos de E&P de Frontera en Colombia",https://lexlatin.com/node/132910,Emisiones,"Financiamientos","Mercado de capitales - Emisiones, Banca y finanzas (créditos y financiamientos)"
"Ecopetrol compra participación de 26 % en Brava Energía",https://lexlatin.com/node/132594,Emisiones,"M&A","Mercado de capitales - Emisiones, Corporativo - Adquisiciones"
"Erton Holding se vuelve accionista del Grupo Nutresa",https://lexlatin.com/node/132473,M&A,"Financiamientos","Corporativo - Adquisiciones, Banca y finanzas (créditos y financiamientos)"
"Mundo debuta en el mercado de deuda con emisión de bonos sostenibles por USD 435 millones",https://lexlatin.com/node/132446,Emisiones,"Financiamientos","Mercado de capitales - Emisiones, Banca y finanzas (créditos y financiamientos)"
