Grupo,Título,ID,NID Drupal,Link,Tipo,Status,País,Fecha Anuncio,Fecha Cierre,Valor USD,Publicado,Tiene Excerpt,Patrón Detectado
1,"3Pillar se expande en Costa Rica con la adquisición de Isthmus Software",drupal-77715,77715,https://lexlatin.com/node/77715,M&A,Cerrado,"Estados Unidos",2020-08-07,2020-08-07,,SÍ,SÍ,CLON PROBABLE (mismo dato + nid consecutivo)
1,"3Pillar se expande en Costa Rica con la adquisición de Isthmus Software",drupal-77830,77830,https://lexlatin.com/node/77830,M&A,Cerrado,"Estados Unidos",2020-08-07,2020-08-07,,NO,SÍ,CLON PROBABLE (mismo dato + nid consecutivo)
1,"3Pillar se expande en Costa Rica con la adquisición de Isthmus Software",drupal-77834,77834,https://lexlatin.com/node/77834,Financiamientos,Cerrado,"Estados Unidos",2020-08-07,2020-08-07,,NO,SÍ,CLON PROBABLE (mismo dato + nid consecutivo)
2,"3R Lux recibe financiamiento y estructura emisión de debentures privados ",drupal-112828,112828,https://lexlatin.com/node/112828,Emisiones,Cerrado,"Estados Unidos",2023-06-06,2023-06-06,500000000.00,NO,SÍ,CLON PROBABLE (mismo dato + nid consecutivo)
2,"3R Lux recibe financiamiento y estructura emisión de debentures privados ",drupal-112853,112853,https://lexlatin.com/node/112853,Financiamientos,Cerrado,"Estados Unidos",2023-06-06,2023-06-06,500000000.00,NO,SÍ,CLON PROBABLE (mismo dato + nid consecutivo)
2,"3R Lux recibe financiamiento y estructura emisión de debentures privados ",drupal-112854,112854,https://lexlatin.com/node/112854,Emisiones,Cerrado,"Estados Unidos",2023-06-06,2023-06-06,500000000.00,NO,SÍ,CLON PROBABLE (mismo dato + nid consecutivo)
3,"3R Petroleum incrementa su participación en el mercado 'onshore' en Brasil",drupal-77475,77475,https://lexlatin.com/node/77475,M&A,Cerrado,"Brasil",2020-08-21,2020-08-21,94200000.00,SÍ,SÍ,DUPLICADO PROBABLE (mismos datos)
3,"3R Petroleum incrementa su participación en el mercado 'onshore' en Brasil",drupal-77587,77587,https://lexlatin.com/node/77587,M&A,Cerrado,"Brasil",2020-08-21,2020-08-21,94200000.00,NO,SÍ,DUPLICADO PROBABLE (mismos datos)
4,"3R Petroleum se reorganiza para fortalecerse en el mercado brasileño",drupal-79019,79019,https://lexlatin.com/node/79019,Emisiones,Cerrado,"Estados Unidos",2020-11-13,2020-11-13,112500000.00,SÍ,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
4,"3R Petroleum se reorganiza para fortalecerse en el mercado brasileño",drupal-79506,79506,https://lexlatin.com/node/79506,M&A,Cerrado,"Estados Unidos",2020-11-13,2020-11-13,,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
4,"3R Petroleum se reorganiza para fortalecerse en el mercado brasileño",drupal-79508,79508,https://lexlatin.com/node/79508,Emisiones,Cerrado,"Estados Unidos",2020-11-13,2020-11-13,112500000.00,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
5,"Abent 3T reestructura préstamo de planta de cogeneración en México",drupal-84248,84248,https://lexlatin.com/node/84248,Financiamientos,Cerrado,"México",2021-05-18,2021-05-18,411000000.00,SÍ,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
5,"Abent 3T reestructura préstamo de planta de cogeneración en México",drupal-84356,84356,https://lexlatin.com/node/84356,Financiamientos,Cerrado,"México",2021-05-18,2021-05-18,411000000.00,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
5,"Abent 3T reestructura préstamo de planta de cogeneración en México",drupal-84360,84360,https://lexlatin.com/node/84360,Financiamientos,Cerrado,"México",2021-05-18,2021-05-18,234700000.00,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
6,"Accel-KKR adquiere Facture, Indicium Solutions y Pegaso Tecnología",drupal-109502,109502,https://lexlatin.com/node/109502,M&A,Cerrado,"México",2023-03-23,2023-03-23,,NO,SÍ,CLON PROBABLE (mismo dato + nid consecutivo)
6,"Accel-KKR adquiere Facture, Indicium Solutions y Pegaso Tecnología",drupal-109503,109503,https://lexlatin.com/node/109503,M&A,Cerrado,"México",2023-03-23,2023-03-23,,NO,SÍ,CLON PROBABLE (mismo dato + nid consecutivo)
6,"Accel-KKR adquiere Facture, Indicium Solutions y Pegaso Tecnología",drupal-109504,109504,https://lexlatin.com/node/109504,M&A,Cerrado,"México",2023-03-23,2023-03-23,,NO,SÍ,CLON PROBABLE (mismo dato + nid consecutivo)
6,"Accel-KKR adquiere Facture, Indicium Solutions y Pegaso Tecnología",drupal-109505,109505,https://lexlatin.com/node/109505,M&A,Cerrado,"México",2023-03-23,2023-03-23,,NO,SÍ,CLON PROBABLE (mismo dato + nid consecutivo)
7,"Accel-KKR adquiere filiales de DBNet en Colombia, Chile y Perú",drupal-117586,117586,https://lexlatin.com/node/117586,M&A,Cerrado,"Estados Unidos",2023-11-15,2023-11-15,,SÍ,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
7,"Accel-KKR adquiere filiales de DBNet en Colombia, Chile y Perú",drupal-117716,117716,https://lexlatin.com/node/117716,M&A,Cerrado,"Estados Unidos",2023-11-15,2023-11-15,,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
